Time (s) Run #1;Sound Wave (%) Run #1
0.5645;-4.04065
0.565;-2.3906
0.5655;2.23625
0.566;2.89505
0.5665;-1.43595
0.567;-4.2633
0.5675;-1.11265
0.568;3.1177
0.5685;2.0685
0.569;-2.67425
0.5695;-2.91215
0.57;1.79705
0.5705;3.15735
0.571;-0.83205
0.5715;-4.24805
0.572;-1.8477
0.5725;2.587
0.573;2.32165
0.5735;-3.5679
0.574;-3.5374
0.5745;0.99795
0.575;3.1787
0.5755;-0.33795
0.576;-4.15655
0.5765;-2.43635
0.577;2.25455
0.5775;1.59575
0.578;-3.07685
0.5785;-3.8363
0.579;0.53435
0.5795;3.3434
0.58;0.40625
0.5805;-3.8485
0.581;-2.9335
0.5815;1.79095
0.582;2.1722
0.5825;-2.5187
0.583;-4.0437
0.5835;1.5317
0.584;3.3556
0.5845;1.02235
0.585;-3.50385
0.5855;-3.391
0.586;2.4833
0.5865;2.5626
0.587;-2.0551
0.5875;-4.3304
0.588;-0.8778
0.5885;3.18175
0.589;-0.1153
0.5895;-3.13175
0.59;-2.72
0.5905;1.8916
0.591;2.7334
0.5915;-1.5244
0.592;-4.41885
0.5925;-1.5305
0.593;2.77
0.5935;0.6106
0.594;-3.7509
0.5945;-3.08295
0.595;1.5195
0.5955;3.1726
0.596;-0.7009
0.5965;-4.12605
0.597;-1.9209
0.5975;2.57785
0.598;1.3243
0.5985;-3.20495
0.599;-3.3483
0.5995;1.0315
0.6;3.31595
0.6005;-0.0299
0.601;-3.97355
0.6015;-2.537
0.602;3.0018
0.6025;1.733
0.603;-2.9457
0.6035;-3.9278
0.604;0.22935
0.6045;3.1604
0.605;0.4093
0.6055;-3.91255
0.606;-1.75315
0.6065;2.66325
0.607;2.16915
0.6075;-2.40585
0.608;-4.1474
0.6085;-0.3471
0.609;3.24275
0.6095;1.1474
0.61;-4.10165
0.6105;-2.2442
0.611;2.3674
0.6115;2.61445
0.612;-3.1104
0.6125;-3.61975
0.613;-0.8656
0.6135;3.12075
0.614;0.1958
0.6145;-3.93085
0.615;-2.8176
0.6155;1.86415
0.616;2.84015
0.6165;-1.25295
0.617;-4.04065
0.6175;0.0433
0.618;3.28545
0.6185;0.78445
0.619;-3.59535
0.6195;-3.21105
0.62;1.31515
0.6205;3.07195
0.621;-0.6094
0.6215;-4.2145
0.622;-0.64295
0.6225;3.0323
0.623;1.2328
0.6235;-3.32695
0.624;-3.72955
0.6245;0.63195
0.625;3.13905
0.6255;-1.67385
0.626;-4.33345
0.6265;-1.28345
0.627;2.8188
0.6275;1.7757
0.628;-2.83895
0.6285;-3.90645
0.629;0.12565
0.6295;3.014
0.63;-0.91135
0.6305;-4.1535
0.631;-1.7379
0.6315;2.62665
0.632;2.35215
0.6325;-2.25335
0.633;-4.08945
0.6335;-0.5301
0.634;3.1726
0.6345;-0.3044
0.635;-3.99185
0.6355;-2.36315
0.636;3.1299
0.6365;2.6907
0.637;-1.5732
0.6375;-4.1718
0.638;0.574
0.6385;3.33425
0.639;0.4215
0.6395;-3.6777
0.64;-2.75355
0.6405;1.82755
0.641;2.2027
0.6415;-0.85645
0.642;-3.8851
0.6425;-0.0543
0.643;3.20005
0.6435;0.94
0.644;-3.4642
0.6445;-3.37575
0.645;1.13215
0.6455;2.4406
0.646;-2.0429
0.6465;-4.18705
0.647;-0.77105
0.6475;2.9713
0.648;1.44935
0.6485;-3.16225
0.649;-3.80885
0.6495;0.51605
0.65;2.7456
0.6505;-1.49085
0.651;-4.29075
0.6515;-1.51525
0.652;2.68765
0.6525;1.83975
0.653;-2.71695
0.6535;-4.0681
0.654;-0.17935
0.6545;2.94995
0.655;-2.4272
0.6555;-4.2694
0.656;-2.06425
0.6565;2.40095
0.657;2.4162
0.6575;-2.0673
0.658;-3.43675
0.6585;1.001
0.659;3.25495
0.6595;-1.6464
0.66;-3.93695
0.6605;-2.52785
0.661;2.0258
0.6615;2.69985
0.662;-2.93655
0.6625;-3.7997
0.663;0.3056
0.6635;3.16345
0.664;0.452
0.6645;-4.12605
0.665;-2.95485
0.6655;1.64455
0.666;2.2393
0.6665;-2.26555
0.667;-3.88205
0.6675;-0.17325
0.668;3.2214
0.6685;1.184
0.669;-3.93085
0.6695;-2.0368
0.67;2.4101
0.6705;2.7151
0.671;-1.6037
0.6715;-3.95525
0.672;-0.707
0.6725;3.1421
0.673;1.78485
0.6735;-2.7505
0.674;-2.64985
0.6745;1.87635
0.675;2.8676
0.6755;-1.25905
0.676;-4.29685
0.6765;-1.7074
0.677;2.4772
0.6775;1.85195
0.678;-3.8363
0.6785;-3.4215
0.679;1.0437
0.6795;2.85845
0.68;-0.77715
0.6805;-4.2633
0.681;-2.3174
0.6815;2.90725
0.682;1.1108
0.6825;-3.37575
0.683;-3.7326
0.6835;1.94345
0.684;3.05975
0.6845;-0.0421
0.685;-3.9339
0.6855;-1.1706
0.686;2.87675
0.6865;1.90685
0.687;-2.5919
0.6875;-3.68075
0.688;1.82145
0.6885;3.41355
0.689;0.8729
0.6895;-3.41845
0.69;-1.61895
0.6905;2.6724
0.691;2.34605
0.6915;-2.0917
0.692;-3.9339
0.6925;-0.3776
0.693;3.1848
0.6935;-0.24645
0.694;-3.9766
